Frame,Nose,EyeLeft,EyeRight,EarLeft,EarRight,ShoulderLeft,ShoulderRight,ElbowLeft,ElbowRight,WristLeft,WristRight,HipLeft,HipRight,KneeLeft,KneeRight,AnkleLeft,AnkleRight,ToesLeft,ToesRight,Spine,Spine1,Spine2,Spine3,LeftIndexFinger,ThumbLeft,PinkyLeft,RightIndexFinger,ThumbRight,PinkyRight,BigToeLeft,SmallToeLeft,BigToeRight,SmallToeRight,PlayerPosition,Nose_x,Nose_y,Nose_z,EyeLeft_x,EyeLeft_y,EyeLeft_z,EyeRight_x,EyeRight_y,EyeRight_z,EarLeft_x,EarLeft_y,EarLeft_z,EarRight_x,EarRight_y,EarRight_z,ShoulderLeft_x,ShoulderLeft_y,ShoulderLeft_z,ShoulderRight_x,ShoulderRight_y,ShoulderRight_z,ElbowLeft_x,ElbowLeft_y,ElbowLeft_z,ElbowRight_x,ElbowRight_y,ElbowRight_z,WristLeft_x,WristLeft_y,WristLeft_z,WristRight_x,WristRight_y,WristRight_z,HipLeft_x,HipLeft_y,HipLeft_z,HipRight_x,HipRight_y,HipRight_z,KneeLeft_x,KneeLeft_y,KneeLeft_z,KneeRight_x,KneeRight_y,KneeRight_z,AnkleLeft_x,AnkleLeft_y,AnkleLeft_z,AnkleRight_x,AnkleRight_y,AnkleRight_z,ToesLeft_x,ToesLeft_y,ToesLeft_z,ToesRight_x,ToesRight_y,ToesRight_z,Spine_x,Spine_y,Spine_z,Spine1_x,Spine1_y,Spine1_z,Spine2_x,Spine2_y,Spine2_z,Spine3_x,Spine3_y,Spine3_z,LeftIndexFinger_x,LeftIndexFinger_y,LeftIndexFinger_z,ThumbLeft_x,ThumbLeft_y,ThumbLeft_z,PinkyLeft_x,PinkyLeft_y,PinkyLeft_z,RightIndexFinger_x,RightIndexFinger_y,RightIndexFinger_z,ThumbRight_x,ThumbRight_y,ThumbRight_z,PinkyRight_x,PinkyRight_y,PinkyRight_z,BigToeLeft_x,BigToeLeft_y,BigToeLeft_z,SmallToeLeft_x,SmallToeLeft_y,SmallToeLeft_z,BigToeRight_x,BigToeRight_y,BigToeRight_z,SmallToeRight_x,SmallToeRight_y,SmallToeRight_z
0,0.03074102;1.673317;0.191713,-0.00111386;1.708521;0.1581039,0.05873728;1.707611;0.1539799,-0.05258084;1.696172;0.06860037,0.09704714;1.693896;0.05829035,-0.1753061;1.489309;0.01711533,0.1919508;1.469113;0.01118643,-0.2074779;1.15496;0.04948286,0.2199138;1.136597;0.03151853,-0.2080822;0.9165291;0.1220928,0.2088196;0.898016;0.1027808,-0.08759222;0.9528595;-0.01105613,0.08226392;0.9502965;-0.01183706,-0.1472443;0.4953197;-0.01504106,0.1505199;0.4940079;-0.01948682,-0.1720536;0.1117293;-0.06881706,0.173187;0.1108431;-0.0771055,-0.2394023;-0.008766353;0.09944431,0.2608049;-0.007236719;0.08335323,-0.0008294558;1.072116;-0.007923015,0.0008268056;1.176453;-0.01802324,0.002985768;1.293111;-0.02751121,0.006375029;1.417148;-0.01942022,-0.1440352;0.7684386;0.1159642,-0.1895795;0.8132448;0.1646169,-0.2476083;0.8230562;0.1167248,0.1365165;0.7536855;0.1036079,0.1955652;0.7925354;0.1417272,0.2399838;0.8037118;0.08123481,-0.1931531;-0.001625478;0.08121397,-0.2634836;0.0003903508;0.0372247,0.2126211;0.0008494854;0.07172362,0.2760286;0.003502488;0.01863942,-0.002664127;0;-0.01144658,0.033405147,1.673317,0.20315958,0.0015502670000000001,1.708521,0.16955048,0.061401407000000005,1.707611,0.16542648000000001,-0.049916712999999995,1.696172,0.08004694999999999,0.099711267,1.693896,0.06973693,-0.172641973,1.489309,0.028561910000000003,0.194614927,1.469113,0.022633010000000002,-0.204813773,1.15496,0.060929439999999994,0.22257792699999998,1.136597,0.04296511,-0.205418073,0.9165291,0.13353938,0.21148372699999998,0.898016,0.11422738,-0.084928093,0.9528595,0.0003904499999999988,0.084928047,0.9502965,-0.00039048000000000034,-0.144580173,0.4953197,-0.0035944800000000006,0.153184027,0.4940079,-0.008040239999999999,-0.169389473,0.1117293,-0.05737048,0.175851127,0.1108431,-0.06565892,-0.23673817300000002,-0.008766353,0.11089088999999999,0.263469027,-0.007236719,0.09479981,0.0018346712,1.072116,0.0035235649999999993,0.0034909326,1.176453,-0.00657666,0.005649895,1.293111,-0.016064630000000003,0.009039156,1.417148,-0.007973639999999999,-0.141371073,0.7684386,0.12741078,-0.18691537300000002,0.8132448,0.17606348000000002,-0.24494417300000002,0.8230562,0.12817138,0.139180627,0.7536855,0.11505448,0.19822932699999998,0.7925354,0.15317378,0.24264792699999999,0.8037118,0.09268139,-0.190488973,-0.001625478,0.09266055,-0.26081947299999997,0.0003903508,0.04867128,0.215285227,0.0008494854,0.0831702,0.27869272700000003,0.003502488,0.030086
1,0.05168849;1.658386;0.2056485,0.01862852;1.695459;0.1753791,0.07751992;1.690841;0.1648684,-0.04282245;1.686226;0.09200777,0.1044061;1.67468;0.06573105,-0.1702325;1.490717;0.02334548,0.1960777;1.454841;0.02282445,-0.2154077;1.155312;0.03390319,0.2458075;1.127662;0.00160965,-0.1950575;0.9193949;0.1116898,0.2149799;0.8925562;0.07840326,-0.08515969;0.9450735;-0.03048064,0.08469515;0.9432074;-0.03251528,-0.1637517;0.4971236;0.04750252,0.1854516;0.4944831;0.00505222,-0.2033355;0.1269946;-0.06243618,0.2124501;0.1182495;-0.08642627,-0.2489644;-0.01135379;0.09925707,0.2351857;0.00419569;0.0975347,0.001165156;1.064574;-0.02526938,0.002731864;1.169181;-0.03205583,0.005674557;1.286151;-0.03568092,0.01077409;1.409283;-0.01910977,-0.1208759;0.7759817;0.1120517,-0.1693041;0.8197362;0.1588408,-0.2279964;0.823256;0.1108817,0.131943;0.7565804;0.1043882,0.1969984;0.7945712;0.1322022,0.2366245;0.7938579;0.06749868,-0.205036;-0.0002641678;0.07758585,-0.2793102;0.00209862;0.04066364,0.1936165;0.01976007;0.07403848,0.2665464;0.004797876;0.03794352,-0.0002322471;0;-0.03149794,0.051920737099999996,1.658386,0.23714644000000001,0.0188607671,1.695459,0.20687704,0.0777521671,1.690841,0.19636634,-0.0425902029,1.686226,0.12350571,0.1046383471,1.67468,0.09722899,-0.1700002529,1.490717,0.054843420000000004,0.1963099471,1.454841,0.05432239,-0.2151754529,1.155312,0.06540113,0.2460397471,1.127662,0.03310759,-0.1948252529,0.9193949,0.14318774,0.2152121471,0.8925562,0.1099012,-0.0849274429,0.9450735,0.0010173000000000022,0.0849273971,0.9432074,-0.0010173399999999985,-0.1635194529,0.4971236,0.07900046,0.1856838471,0.4944831,0.03655016,-0.2031032529,0.1269946,-0.03093824,0.2126823471,0.1182495,-0.05492833,-0.2487321529,-0.01135379,0.13075501,0.2354179471,0.00419569,0.12903264,0.0013974031,1.064574,0.006228560000000001,0.0029641111,1.169181,-0.0005578899999999984,0.0059068041,1.286151,-0.004182979999999996,0.0110063371,1.409283,0.01238817,-0.1206436529,0.7759817,0.14354964,-0.1690718529,0.8197362,0.19033874,-0.2277641529,0.823256,0.14237964,0.1321752471,0.7565804,0.13588614,0.1972306471,0.7945712,0.16370014,0.2368567471,0.7938579,0.09899662000000001,-0.2048037529,-0.0002641678,0.10908379,-0.2790779529,0.00209862,0.07216158,0.1938487471,0.01976007,0.10553642,0.26677864710000004,0.004797876,0.06944146000000001
2,0.08472333;1.629539;0.2230114,0.04947743;1.669521;0.1997146,0.1043093;1.659818;0.1773695,-0.02840507;1.666137;0.1309024,0.1086748;1.641879;0.07503981,-0.1632091;1.484708;0.03765381,0.2014626;1.431826;0.04267063,-0.2308935;1.152431;0.01820327,0.2780292;1.118748;-0.02297965,-0.1866464;0.9248621;0.1097259,0.2273908;0.8907294;0.06399959,-0.08251514;0.9291;-0.04922362,0.08735356;0.9274976;-0.04979925,-0.1824977;0.5016907;0.09304964,0.2285882;0.4958302;0.03164204,-0.2504842;0.1475668;-0.05055725,0.2566839;0.1309543;-0.0976835,-0.2752063;-0.005329788;0.1023426,0.2244496;0.02898633;0.09186923,0.00358831;1.048419;-0.03879819,0.005454858;1.153222;-0.04078911,0.009564271;1.270154;-0.03706374,0.01640351;1.391484;-0.01071357,-0.1018914;0.7878814;0.1208282,-0.1543556;0.8308203;0.1638715,-0.2122275;0.8266462;0.1149771,0.1413207;0.7616386;0.1085784,0.2076161;0.801285;0.130538,0.2464568;0.7909272;0.06618433,-0.2344691;0.007939219;0.076137,-0.3129717;0.01330614;0.04979249,0.1912618;0.04633987;0.05840664,0.2686842;0.02256054;0.04150089,0.002419222;0;-0.04951141,0.082304108,1.629539,0.27252281,0.047058208000000004,1.669521,0.24922601,0.101890078,1.659818,0.22688091000000002,-0.030824292,1.666137,0.18041381,0.106255578,1.641879,0.12455121999999999,-0.165628322,1.484708,0.08716522,0.199043378,1.431826,0.09218203999999999,-0.233312722,1.152431,0.06771468,0.275609978,1.118748,0.026531759999999998,-0.189065622,0.9248621,0.15923731,0.224971578,0.8907294,0.113511,-0.084934362,0.9291,0.0002877899999999961,0.084934338,0.9274976,-0.0002878400000000045,-0.184916922,0.5016907,0.14256105,0.226168978,0.4958302,0.08115345,-0.252903422,0.1475668,-0.0010458399999999993,0.254264678,0.1309543,-0.04817209000000001,-0.277625522,-0.005329788,0.15185401,0.222030378,0.02898633,0.14138064,0.001169088,1.048419,0.010713219999999996,0.003035636,1.153222,0.008722299999999995,0.007145048999999999,1.270154,0.012447670000000001,0.013984288,1.391484,0.03879784,-0.10431062199999999,0.7878814,0.17033961,-0.156774822,0.8308203,0.21338291,-0.214646722,0.8266462,0.16448851,0.138901478,0.7616386,0.15808981,0.205196878,0.801285,0.18004941,0.244037578,0.7909272,0.11569573999999999,-0.236888322,0.007939219,0.12564841,-0.315390922,0.01330614,0.0993039,0.188842578,0.04633987,0.10791805,0.266264978,0.02256054,0.09101229999999999
3,0.1292992;1.58832;0.2314037,0.09171627;1.630779;0.2184279,0.1382208;1.618579;0.1825323,-0.001359494;1.63347;0.1721471,0.1149018;1.602971;0.08240824,-0.1517333;1.458935;0.05900112,0.211738;1.398894;0.05448065,-0.2473689;1.139964;-0.002467535,0.3142268;1.106254;-0.04322643,-0.1750079;0.9281793;0.107228,0.2419005;0.8912977;0.0601408,-0.07804838;0.9061198;-0.05963794,0.09177926;0.9031475;-0.06247033,-0.2029845;0.4974898;0.1145157,0.261386;0.4935061;0.06537386,-0.3131083;0.1590762;-0.04039689,0.2963196;0.1542408;-0.1199037,-0.3363031;0.003807247;0.1103363,0.3082918;0.0474537;0.06935789,0.009213699;1.024239;-0.04575391,0.01206874;1.129008;-0.04321519,0.01756287;1.24552;-0.03328143,0.02606232;1.364836;0.0006805174,-0.08186841;0.7982794;0.1300625,-0.1374377;0.8411313;0.1691104,-0.194367;0.8292807;0.1203676,0.1464192;0.7734315;0.1153733,0.2146147;0.8109658;0.1351139,0.2542842;0.791312;0.07349139,-0.2970545;0.01482564;0.08100257,-0.3768776;0.02678794;0.06175005,0.2681739;0.06144613;0.04257929,0.3435619;0.04637581;0.01200088,0.006865463;0;-0.0610541,0.122433737,1.58832,0.2924578,0.084850807,1.630779,0.279482,0.13135533700000002,1.618579,0.2435864,-0.008224957,1.63347,0.2332012,0.108036337,1.602971,0.14346234,-0.15859876299999998,1.458935,0.12005521999999999,0.20487253700000002,1.398894,0.11553474999999999,-0.254234363,1.139964,0.058586565,0.30736133699999996,1.106254,0.017827669999999997,-0.18187336299999998,0.9281793,0.1682821,0.235035037,0.8912977,0.1211949,-0.084913843,0.9061198,0.0014161599999999996,0.084913797,0.9031475,-0.0014162299999999975,-0.209849963,0.4974898,0.1755698,0.254520537,0.4935061,0.12642796,-0.319973763,0.1590762,0.020657210000000002,0.289454137,0.1542408,-0.0588496,-0.34316856300000004,0.003807247,0.1713904,0.301426337,0.0474537,0.13041199,0.002348236000000001,1.024239,0.015300189999999998,0.005203277,1.129008,0.01783891,0.010697407000000003,1.24552,0.02777267,0.019196857,1.364836,0.0617346174,-0.088733873,0.7982794,0.1911166,-0.14430316299999998,0.8411313,0.2301645,-0.201232463,0.8292807,0.18142170000000002,0.139553737,0.7734315,0.1764274,0.207749237,0.8109658,0.196168,0.24741873700000003,0.791312,0.13454549,-0.303919963,0.01482564,0.14205667,-0.383743063,0.02678794,0.12280415,0.261308437,0.06144613,0.10363338999999999,0.33669643699999996,0.04637581,0.07305498
4,0.1772984;1.53814;0.2199976,0.1389455;1.581873;0.2203292,0.1730482;1.570987;0.1721785,0.03673684;1.588705;0.2024693,0.1219937;1.561489;0.08209258,-0.1369198;1.414263;0.07672551,0.2259743;1.361531;0.05613527,-0.26239;1.121287;-0.02605146,0.3320464;1.086215;-0.07747453,-0.1688465;0.9280913;0.1006246,0.2516843;0.8888755;0.05183613,-0.07247916;0.8749087;-0.05928939,0.09704802;0.8685867;-0.06816932,-0.2271103;0.4745142;0.1100928,0.3070063;0.4892415;0.0897274,-0.3848424;0.1510383;-0.03527856,0.3489498;0.1779572;-0.1382898,-0.4056478;0.004363596;0.1241598,0.4357857;0.07282436;0.03133738,0.01760045;0.9910949;-0.04720357,0.02229159;1.095752;-0.04321235,0.02921524;1.211955;-0.03085675,0.03898896;1.330189;0.006391414,-0.07664774;0.8036886;0.1463825,-0.1333932;0.8518863;0.1764808,-0.1887383;0.8323723;0.1283831,0.1486197;0.7913528;0.1288214,0.2230067;0.8203965;0.1373167,0.2522515;0.7897729;0.07435478,-0.3669662;0.01352865;0.09346664,-0.4471141;0.02490497;0.07523522,0.3880259;0.07574815;0.01608026,0.4545961;0.08364767;-0.03241211,0.01228445;0;-0.06372932,0.16501395,1.53814,0.28372692,0.12666105,1.581873,0.28405852,0.16076375,1.570987,0.23590782000000002,0.024452389999999997,1.588705,0.26619862,0.10970925,1.561489,0.1458219,-0.14920425,1.414263,0.14045483,0.21368985,1.361531,0.11986459000000001,-0.27467445,1.121287,0.03767786000000001,0.31976195,1.086215,-0.013745209999999994,-0.18113095,0.9280913,0.16435392,0.23939985000000003,0.8888755,0.11556545000000001,-0.08476361,0.8749087,0.004439930000000009,0.08476357,0.8685867,-0.0044399999999999995,-0.23939475,0.4745142,0.17382212000000002,0.29472185,0.4892415,0.15345672,-0.39712685,0.1510383,0.028450760000000005,0.33666535,0.1779572,-0.07456047999999998,-0.41793225,0.004363596,0.18788912000000002,0.42350125,0.07282436,0.0950667,0.0053159999999999995,0.9910949,0.016525750000000006,0.01000714,1.095752,0.02051697000000001,0.01693079,1.211955,0.032872570000000004,0.02670451,1.330189,0.070120734,-0.08893219000000001,0.8036886,0.21011182,-0.14567765,0.8518863,0.24021012,-0.20102275,0.8323723,0.19211242,0.13633525,0.7913528,0.19255072,0.21072225,0.8203965,0.20104602000000002,0.23996705000000002,0.7897729,0.1380841,-0.37925065,0.01352865,0.15719596000000002,-0.45939855,0.02490497,0.13896454000000003,0.37574145,0.07574815,0.07980958,0.44231165,0.08364767,0.031317210000000005
5,0.2156225;1.487321;0.1974277,0.1787631;1.530366;0.2105458,0.1997259;1.523505;0.1547472,0.0753625;1.537037;0.2192676,0.1277695;1.519884;0.07977118,-0.1196276;1.364301;0.09278268,0.2408158;1.318014;0.04841968,-0.2702584;1.097536;-0.03291815,0.3226642;1.055594;-0.1248707,-0.166225;0.9126819;0.09795494,0.2511703;0.87692;0.03351598,-0.06809415;0.8344524;-0.04928205,0.1007232;0.8251067;-0.06576307,-0.250957;0.4377454;0.09938467,0.3620562;0.4826893;0.09968186,-0.4452757;0.1319563;-0.03983518,0.4116492;0.1933413;-0.1542223,-0.4482443;-0.005154788;0.1291579,0.5470297;0.08045256;-0.02657037,0.02443818;0.9490992;-0.04196842,0.03082847;1.053691;-0.03867666,0.03937832;1.169843;-0.02686896,0.05149692;1.287987;0.009969518,-0.08502263;0.7894549;0.1634659,-0.1365009;0.8470871;0.185317,-0.194317;0.8251756;0.141335,0.1548384;0.8038037;0.1404454,0.2325377;0.8214703;0.1304532,0.2431778;0.7812887;0.066975,-0.4109311;0.006572723;0.09765362,-0.4918461;0.006867409;0.07926425,0.4974733;0.07582098;-0.03328037,0.5508828;0.106286;-0.08864098,0.01631458;0;-0.05752252,0.19930792,1.487321,0.25495022,0.16244852,1.530366,0.26806832,0.18341132000000002,1.523505,0.21226972,0.059047920000000004,1.537037,0.27679012000000003,0.11145492000000001,1.519884,0.1372937,-0.13594218,1.364301,0.1503052,0.22450122,1.318014,0.1059422,-0.28657298000000003,1.097536,0.02460437,0.30634962,1.055594,-0.06734818000000001,-0.18253958,0.9126819,0.15547746,0.23485572000000002,0.87692,0.0910385,-0.08440873,0.8344524,0.00824047,0.08440862,0.8251067,-0.008240550000000006,-0.26727158,0.4377454,0.15690719,0.34574161999999997,0.4826893,0.15720438,-0.46159028,0.1319563,0.017687340000000003,0.39533461999999997,0.1933413,-0.09669978000000001,-0.46455888,-0.005154788,0.18668041999999999,0.53071512,0.08045256,0.03095215,0.008123600000000002,0.9490992,0.015554100000000001,0.014513890000000002,1.053691,0.01884586,0.023063740000000003,1.169843,0.03065356,0.035182340000000006,1.287987,0.067492038,-0.10133721,0.7894549,0.22098842,-0.15281548,0.8470871,0.24283952,-0.21063157999999998,0.8251756,0.19885751999999998,0.13852382,0.8038037,0.19796792,0.21622312000000002,0.8214703,0.18797571999999999,0.22686322,0.7812887,0.12449752,-0.42724568,0.006572723,0.15517614,-0.50816068,0.006867409,0.13678677,0.48115872,0.07582098,0.024242150000000004,0.53456822,0.106286,-0.031118459999999994
6,0.2562217;1.442818;0.1588016,0.2224837;1.48523;0.1799342,0.2314796;1.479358;0.1209037,0.1230833;1.490509;0.2100002,0.1455731;1.47583;0.06242397,-0.08950399;1.316605;0.09706669,0.2647249;1.270536;0.02430167,-0.251979;1.056452;-0.02399931,0.3061737;1.024785;-0.1859747,-0.1341547;0.87312;0.09694868,0.2478115;0.8599674;-0.008347742,-0.06212139;0.7938054;-0.04480194,0.1052943;0.77855;-0.06924643,-0.2644682;0.4088015;0.1092911,0.4107918;0.4774083;0.1007583,-0.4776674;0.1197172;-0.03776441,0.4848651;0.1984751;-0.1587768,-0.4619816;-0.008779764;0.1371911,0.6298547;0.05717623;-0.07813764,0.03428222;0.9054561;-0.04451098,0.04393727;1.009845;-0.04366599,0.05603362;1.125904;-0.03428723,0.0728664;1.244181;0.0001963153,-0.04837331;0.749418;0.1553422,-0.09655506;0.8080429;0.1816219,-0.1588588;0.7865168;0.1440438,0.1814327;0.8011716;0.1265473,0.254088;0.8169525;0.09619424,0.2502077;0.7692177;0.0373418,-0.4266891;0.006113768;0.104711,-0.5071201;-0.004664242;0.08738544,0.5798056;0.0541324;-0.08098931,0.6282686;0.09836227;-0.1313933,0.02158651;0;-0.05702415,0.23463519,1.442818,0.21582574999999998,0.20089719,1.48523,0.23695834999999998,0.20989309,1.479358,0.17792785,0.10149679,1.490509,0.26702435,0.12398659000000001,1.47583,0.11944812,-0.11109050000000001,1.316605,0.15409084,0.24313838999999998,1.270536,0.08132582000000001,-0.27356551,1.056452,0.03302484,0.28458719,1.024785,-0.12895055,-0.15574121,0.87312,0.15397283,0.22622499,0.8599674,0.048676408000000004,-0.0837079,0.7938054,0.012222210000000004,0.08370778999999999,0.77855,-0.012222279999999995,-0.28605471,0.4088015,0.16631525,0.38920529,0.4774083,0.15778245,-0.49925391,0.1197172,0.019259740000000004,0.46327859,0.1984751,-0.10175265,-0.48356811,-0.008779764,0.19421525,0.60826819,0.05717623,-0.02111348999999999,0.012695710000000002,0.9054561,0.012513170000000004,0.02235076,1.009845,0.01335816,0.03444711,1.125904,0.02273692,0.051279889999999995,1.244181,0.0572204653,-0.06995982,0.749418,0.21236635,-0.11814157,0.8080429,0.23864605,-0.18044531,0.7865168,0.20106795,0.15984619,0.8011716,0.18357145,0.23250148999999998,0.8169525,0.15321839,0.22862118999999997,0.7692177,0.09436595,-0.44827561,0.006113768,0.16173515,-0.52870661,-0.004664242,0.14440959,0.55821909,0.0541324,-0.023965159999999992,0.60668209,0.09836227,-0.07436915
7,0.3116894;1.403062;0.1354461,0.2798465;1.444608;0.1608136,0.28153;1.439036;0.1010966,0.1848872;1.447417;0.2030876,0.1890961;1.433485;0.0537954,-0.04013344;1.270719;0.1015252,0.3051521;1.224687;0.002253827,-0.197088;0.9957205;0.01064843,0.2924789;1.001301;-0.2374677,-0.05689026;0.8171733;0.113543,0.2465734;0.8286159;-0.06370136,-0.05053806;0.7672299;-0.04284882,0.1144287;0.7392557;-0.0722034,-0.2653225;0.3946178;0.1243183,0.4446584;0.4669258;0.1001378,-0.4840054;0.1185399;-0.03880053,0.5435777;0.1896789;-0.1528408,-0.4680445;-0.008452475;0.1372254,0.6723099;0.03540164;-0.07838564,0.05325118;0.8717541;-0.05072798,0.0695777;0.975278;-0.0534268,0.08833271;1.090516;-0.04492263,0.1120011;1.206986;-0.008364175,0.05214984;0.7042416;0.1513197,0.0006525218;0.7539333;0.1877578,-0.06281795;0.7256362;0.1572943,0.2244866;0.7708511;0.08541311,0.2841676;0.7962986;0.03808744,0.2761433;0.7438184;-0.01612245,-0.4326153;0.007028222;0.1051716,-0.5125154;-0.00567621;0.08673124,0.6222436;0.0363608;-0.08223014,0.6750488;0.07709312;-0.1311993,0.03194538;0;-0.0575261,0.27974402,1.403062,0.1929722,0.24790112,1.444608,0.2183397,0.24958462,1.439036,0.1586227,0.15294182,1.447417,0.2606137,0.15715072,1.433485,0.11132149999999999,-0.07207882,1.270719,0.1590513,0.27320671999999996,1.224687,0.059779927,-0.22903338,0.9957205,0.06817453,0.26053351999999996,1.001301,-0.1799416,-0.08883564,0.8171733,0.1710691,0.21462802,0.8286159,-0.006175260000000002,-0.08248344,0.7672299,0.014677279999999994,0.08248332,0.7392557,-0.014677300000000004,-0.29726788000000004,0.3946178,0.18184440000000002,0.41271302,0.4669258,0.1576639,-0.5159507799999999,0.1185399,0.018725569999999997,0.51163232,0.1896789,-0.0953147,-0.49998988,-0.008452475,0.1947515,0.64036452,0.03540164,-0.02085954000000001,0.0213058,0.8717541,0.006798119999999998,0.037632320000000004,0.975278,0.004099299999999993,0.05638732999999999,1.090516,0.012603469999999999,0.08005572,1.206986,0.049161924999999995,0.02020446,0.7042416,0.2088458,-0.0312928582,0.7539333,0.2452839,-0.09476333,0.7256362,0.2148204,0.19254122,0.7708511,0.14293920999999998,0.25222222,0.7962986,0.09561354,0.24419791999999998,0.7438184,0.04140365,-0.46456068,0.007028222,0.1626977,-0.54446078,-0.00567621,0.14425734,0.59029822,0.0363608,-0.024704039999999997,0.64310342,0.07709312,-0.0736732
8,0.3608926;1.375218;0.121167,0.3303123;1.415347;0.1501165,0.3287774;1.412546;0.09020155,0.2377743;1.4156;0.1975391,0.2339372;1.408596;0.04775188,0.00625471;1.235741;0.1125628,0.3369494;1.198219;-0.02450065,-0.1262743;0.9386753;0.06024859,0.2865933;0.9932408;-0.2752714,0.05011646;0.782815;0.1421978,0.2521663;0.8054069;-0.1150983,-0.02923142;0.7479882;-0.03227212,0.1323994;0.7165136;-0.07402267,-0.2554285;0.3828692;0.1363696,0.4759892;0.462342;0.0999304,-0.484802;0.1219418;-0.03670181,0.5530852;0.1755985;-0.1500364,-0.47126;-0.005393386;0.1393006,0.6857675;0.02491188;-0.07468233,0.07517355;0.8505045;-0.05097109,0.09293612;0.9536744;-0.05658224,0.1145737;1.068495;-0.04938335,0.1441466;1.183568;-0.01269969,0.1805649;0.6884735;0.1545788,0.1317548;0.731565;0.2015859,0.06803751;0.6931816;0.1866169,0.2553;0.7348957;0.03008474,0.3049431;0.7728124;-0.02038337,0.2993762;0.7235056;-0.07778663,-0.4354065;0.01008707;0.107722,-0.5150914;-0.002444625;0.08825987,0.6356037;0.02524555;-0.07708905,0.6865163;0.06509101;-0.1287198,0.05158406;0;-0.05314739,0.30930854,1.375218,0.17431438999999999,0.27872824,1.415347,0.20326389,0.27719334,1.412546,0.14334894,0.18619024,1.4156,0.25068649,0.18235314000000002,1.408596,0.10089927,-0.045329350000000004,1.235741,0.16571019,0.28536534,1.198219,0.028646740000000004,-0.17785836,0.9386753,0.11339598000000001,0.23500924,0.9932408,-0.22212400999999998,-0.0014675999999999995,0.782815,0.19534519,0.20058224000000002,0.8054069,-0.06195091,-0.08081548,0.7479882,0.02087527,0.08081534,0.7165136,-0.020875279999999996,-0.30701256,0.3828692,0.18951699,0.42440514,0.462342,0.15307779,-0.53638606,0.1219418,0.01644558,0.50150114,0.1755985,-0.09688900999999998,-0.52284406,-0.005393386,0.19244799,0.6341834399999999,0.02491188,-0.021534940000000002,0.023589490000000005,0.8505045,0.002176300000000006,0.041352059999999996,0.9536744,-0.0034348499999999962,0.06298964,1.068495,0.003764040000000003,0.09256254000000001,1.183568,0.0404477,0.12898083999999999,0.6884735,0.20772618999999998,0.08017074,0.731565,0.25473329,0.016453449999999994,0.6931816,0.23976429,0.20371594000000004,0.7348957,0.08323213,0.25335904000000004,0.7728124,0.032764020000000005,0.24779214,0.7235056,-0.024639239999999993,-0.48699055999999996,0.01008707,0.16086939,-0.56667546,-0.002444625,0.14140726,0.58401964,0.02524555,-0.023941660000000003,0.6349322399999999,0.06509101,-0.07557240999999999
9,0.4245985;1.355757;0.1130938,0.3955945;1.39524;0.1444545,0.390476;1.39335;0.08470315,0.3060746;1.39417;0.197344,0.2932785;1.389446;0.04796554,0.07045241;1.217252;0.1395348,0.3778533;1.178434;-0.04122605,-0.03324872;0.9034793;0.1130002,0.2985608;1.002024;-0.3030753,0.1820689;0.792175;0.1710645,0.2832678;0.7966614;-0.1626674,1.899898E-05;0.7376801;-0.02533973,0.1566643;0.7053072;-0.08254572,-0.237912;0.3759274;0.134162,0.5078768;0.4650795;0.09593997,-0.4875783;0.129995;-0.03267031,0.5361058;0.1548411;-0.1355862,-0.4745718;0.003437936;0.1438803,0.6938457;0.02503872;-0.06968897,0.1047086;0.8390421;-0.0482628,0.124476;0.9419628;-0.05101911,0.1501153;1.055828;-0.04200461,0.1876211;1.168731;-0.005835392,0.3291476;0.7258738;0.1645531,0.2828389;0.7666715;0.2159341,0.2268907;0.7156367;0.2206755,0.2874985;0.7083043;-0.02763074,0.3371688;0.7507672;-0.07430948,0.3285698;0.7093031;-0.1372702,-0.4386336;0.01871032;0.1122967,-0.5183009;0.006211102;0.09274221,0.6440585;0.01946235;-0.06615882,0.6836593;0.06190783;-0.1251135,0.07834174;0;-0.05394272,0.34625676,1.355757,0.16703652,0.31725276,1.39524,0.19839722,0.31213426,1.39335,0.13864587,0.22773285999999998,1.39417,0.25128671999999996,0.21493676,1.389446,0.10190826,-0.007889330000000014,1.217252,0.19347752,0.29951156,1.178434,0.01271667,-0.11159046,0.9034793,0.16694292,0.22021906000000002,1.002024,-0.24913258,0.10372716,0.792175,0.22500722,0.20492606000000002,0.7966614,-0.10872467999999999,-0.07832274102,0.7376801,0.02860299,0.07832256,0.7053072,-0.028603000000000003,-0.31625374,0.3759274,0.18810472,0.42953506,0.4650795,0.14988268999999999,-0.5659200400000001,0.129995,0.02127241,0.45776406,0.1548411,-0.08164347999999999,-0.55291354,0.003437936,0.19782302,0.61550396,0.02503872,-0.015746250000000003,0.026366859999999992,0.8390421,0.005679919999999998,0.046134259999999996,0.9419628,0.00292361,0.07177356,1.055828,0.011938110000000002,0.10927936,1.168731,0.048107328,0.25080586,0.7258738,0.21849582,0.20449716,0.7666715,0.26987682,0.14854896,0.7156367,0.27461822,0.20915676,0.7083043,0.02631198,0.25882706,0.7507672,-0.020366759999999998,0.25022806000000003,0.7093031,-0.08332748000000001,-0.51697534,0.01871032,0.16623942,-0.59664264,0.006211102,0.14668493,0.5657167599999999,0.01946235,-0.012216099999999994,0.6053175599999999,0.06190783,-0.07117077999999999
