Frame,Nose,EyeLeft,EyeRight,EarLeft,EarRight,ShoulderLeft,ShoulderRight,ElbowLeft,ElbowRight,WristLeft,WristRight,HipLeft,HipRight,KneeLeft,KneeRight,AnkleLeft,AnkleRight,ToesLeft,ToesRight,Spine,Spine1,Spine2,Spine3,LeftIndexFinger,ThumbLeft,PinkyLeft,RightIndexFinger,ThumbRight,PinkyRight,BigToeLeft,SmallToeLeft,BigToeRight,SmallToeRight,PlayerPosition
10,0.266028;1.569266;0.3679009,0.2322425;1.600902;0.3326685,0.2920081;1.602079;0.3275032,0.1798985;1.580676;0.2451284,0.3293127;1.583618;0.2322151,0.08114658;1.413103;0.1415083,0.4415442;1.432802;0.1822552,-0.02612236;1.156325;-0.04350463,0.5864387;1.177056;0.01536807,-0.04999751;0.9088122;-0.02649805,0.6101215;0.9336866;-0.03292769,0.1768562;0.8674099;0.02837154,0.3460672;0.8563194;0.03851689,-0.05944714;0.4714583;0.01104972,0.3921279;0.4231111;0.1905878,-0.2309529;0.1684194;-0.1604207,0.3784969;0.1353068;-0.06947368,-0.3517315;0.02925485;-0.04600635,0.4466473;0.02295262;0.02428451,0.2677929;0.9799822;0.05696606,0.2726203;1.084279;0.06644674,0.2742367;1.200111;0.08330759,0.2692898;1.317778;0.1232086,-0.0416843;0.7600265;0.01604152,-0.09513515;0.8172942;0.02254677,-0.1018448;0.8253912;-0.05259749,0.5353405;0.7989323;-0.04922661,0.6019994;0.82224;-0.01469702,0.6323454;0.846359;-0.0799247,-0.3022592;0.02955836;-0.05465168,-0.3606407;0.05873603;-0.1058938,0.399264;0.02096456;0.007755786,0.4663241;0.03146124;-0.03955442,0.2614618;0;0.03344427
11,0.2905774;1.573611;0.3925738,0.2563658;1.605223;0.357733,0.3160695;1.606481;0.3519123,0.2030899;1.584978;0.2707612,0.3523492;1.588122;0.2562096,0.1066477;1.417259;0.1644573,0.465048;1.445488;0.2082642,0.00156799;1.16864;-0.03217225,0.6034493;1.186747;0.03646739,-0.01069739;0.920351;-0.01417167,0.6316625;0.9435326;-0.01014836,0.2210666;0.8728897;0.04323173,0.3901921;0.8672165;0.05815328,-0.03070983;0.4868409;0.06540981,0.449356;0.4405324;0.2235525,-0.178426;0.1881995;-0.1336935,0.4256729;0.149013;-0.03160368,-0.3390345;0.05523354;-0.06482102,0.466018;0.01930636;0.04394455,0.307573;0.9884318;0.0736668,0.308949;1.092824;0.08323154,0.3067845;1.208449;0.1013928,0.2978039;1.324991;0.1438129,-0.002793282;0.7735341;0.03479947,-0.05620342;0.8310859;0.03854693,-0.0625166;0.8359351;-0.03691085,0.5598962;0.8066816;-0.02189305,0.6265179;0.8324142;0.01094462,0.6552283;0.8556107;-0.05534939,-0.2891562;0.05038553;-0.06150772,-0.3300541;0.09169722;-0.1207208,0.4199095;0.02784586;0.02596147,0.4899491;0.03046292;-0.01800548,0.3056294;0;0.05069255
12,0.3075169;1.560442;0.4072516,0.2729023;1.592156;0.372905,0.332545;1.593587;0.3665254,0.2188508;1.572244;0.2863359,0.3679576;1.575822;0.2703869,0.122888;1.403377;0.1784297,0.4807963;1.439813;0.2200468,0.02067545;1.156516;-0.0221599,0.6078949;1.177143;0.04219413,0.01631284;0.9081047;-0.002293617,0.6397257;0.9339279;-0.002027139,0.2538294;0.8631877;0.04913308,0.423014;0.8633777;0.06445809,-0.0094226;0.4905939;0.118338,0.4999345;0.4450021;0.2432366,-0.1014566;0.2002099;-0.1221943,0.4713061;0.1536055;-0.01155241,-0.2688888;0.06594908;-0.07233381,0.4694801;-0.005858123;0.0440686,0.3363791;0.9820126;0.07787011,0.3343607;1.086458;0.08670745,0.3286317;1.20175;0.1061699,0.3164973;1.316675;0.1520739,0.02452594;0.7650496;0.05672884,-0.0282152;0.8233196;0.05809736,-0.03698254;0.8228775;-0.01726958,0.5719802;0.7945486;-0.002730444,0.6402093;0.8235906;0.02335194,0.6624073;0.8451232;-0.04593645,-0.2195379;0.06070155;-0.06463501,-0.2547233;0.104551;-0.1256653,0.4293001;0.01917523;0.02729876,0.5018988;0.01291901;-0.01189044,0.3384217;0;0.05679564
13,0.335777;1.540832;0.4139398,0.3009167;1.5733;0.38056,0.3604784;1.574467;0.3734159,0.2456086;1.5551;0.2944088,0.394513;1.558017;0.2765486,0.1466187;1.387585;0.180873,0.5077055;1.418462;0.2180496,0.04623085;1.13133;-0.009798143,0.6080067;1.15527;0.02349473,0.05586207;0.8882928;0.04462793,0.6400959;0.911827;-0.01925926,0.2827863;0.8500201;0.04825549,0.4522618;0.8551394;0.05874966,0.02869162;0.4819008;0.1615739,0.5466649;0.4556876;0.2695648,0.04973269;0.2118632;-0.1164296,0.5184597;0.1682271;0.01029679,-0.07971972;0.04540712;-0.05825434,0.5039888;-0.01006442;0.06579569,0.3628056;0.9717276;0.07157581,0.3586491;1.076215;0.07906321,0.3518199;1.191196;0.09995838,0.3400477;1.304309;0.1502467,0.06071293;0.7550675;0.1236425,0.01197675;0.8166627;0.1205327,-0.003686875;0.8059742;0.04706394,0.5797353;0.7696717;-0.006413374,0.6492118;0.8027425;0.009657543,0.6613603;0.8224014;-0.0626142,-0.03057829;0.05247527;-0.05067164,-0.07460329;0.08223134;-0.1144044,0.4663717;0.02035332;0.05230347,0.5391358;0.0136826;0.01349148,0.3675241;0;0.05350262
14,0.3652896;1.527125;0.4223055,0.330518;1.560543;0.3897822,0.3900053;1.56097;0.3819668,0.273981;1.544328;0.3040331,0.4226993;1.545397;0.2844947,0.170136;1.378729;0.1853801,0.534191;1.398402;0.2206671,0.06519905;1.116784;0.005461596,0.6119329;1.140023;0.01025654,0.07799217;0.8784315;0.07719778,0.6471735;0.8969389;-0.03205986,0.3063595;0.8402436;0.05385561,0.4758722;0.8503447;0.05851353,0.05559528;0.4760957;0.1858802,0.5861719;0.4770328;0.3062814,0.1301914;0.2228046;-0.09859828,0.57047;0.1882299;0.04744681,0.05041894;0.03248119;-0.02886007,0.5941709;-0.005642772;0.1165914,0.3835737;0.9646386;0.07184058,0.3776733;1.069123;0.0781116,0.3713699;1.183993;0.09976742,0.362217;1.296032;0.1529225,0.08191684;0.7584208;0.1751666,0.03814825;0.823285;0.1676944,0.01290286;0.803471;0.09893887,0.5962263;0.7535148;-0.002896987,0.6656888;0.7901391;0.0006461963,0.6658672;0.8060617;-0.07354075,0.09566671;0.05312699;-0.02187944,0.04663947;0.0648523;-0.08779103,0.551753;0.01984537;0.1080238,0.6221423;0.02781332;0.06527611,0.3911158;0;0.0561846
15,0.3978457;1.510611;0.4292608,0.3632023;1.545125;0.3977612,0.4225688;1.544637;0.389079,0.3051559;1.531216;0.3126177,0.4535721;1.529997;0.2909123,0.1953755;1.365803;0.194638,0.5620981;1.376791;0.2215539,0.08002904;1.091239;0.04251516,0.631613;1.123468;0.004012495,0.09098783;0.8563134;0.1250478,0.6631259;0.8791571;-0.0339518,0.3372728;0.8249106;0.06523041,0.506338;0.8414974;0.0649109,0.09481338;0.4492318;0.1792302,0.6394911;0.5002728;0.34554,0.1573166;0.1929536;-0.1054868,0.6428534;0.201702;0.09756172,0.06413984;0.05084658;-0.01646408,0.7225929;0.01798719;0.1856946,0.4101173;0.9525768;0.07766587,0.4012395;1.056952;0.08191257,0.3938926;1.171889;0.1028723,0.3863739;1.28358;0.1570073,0.09693587;0.7484573;0.2361677,0.05661225;0.8149467;0.2246743,0.02387106;0.7891467;0.1612738,0.6252863;0.7361615;0.01227549,0.6923774;0.7756467;0.00138402,0.6789706;0.7864699;-0.07251051,0.1133918;0.06055003;-0.01491001,0.06592035;0.06131518;-0.08296415,0.6751357;0.03365886;0.1807421,0.738508;0.05613828;0.1325329,0.4218054;0;0.06507069
16,0.4766501;1.46342;0.4548493,0.4423377;1.498793;0.4239465,0.5016024;1.497317;0.4146996,0.3832606;1.486593;0.3392511,0.5314225;1.482901;0.3161337,0.2667605;1.319048;0.2269432,0.6359559;1.324563;0.2347149,0.1474544;1.030693;0.1075523,0.6969719;1.06433;0.02455075,0.1630089;0.7994357;0.1992026,0.7284031;0.8182105;0.0008916408,0.4137416;0.7824386;0.07969364,0.5820193;0.8047724;0.073204,0.1791428;0.3954924;0.1699881,0.7494507;0.5127277;0.3887883,0.1858048;0.1691647;-0.1452584,0.7881502;0.1885371;0.1789029,0.07194492;0.04511112;-0.01629373,0.91277;0.05472505;0.3005679,0.4826953;0.9123266;0.09127524,0.4710115;1.01632;0.09759949,0.4623918;1.130666;0.1211444,0.4564741;1.240984;0.1782141,0.1793884;0.6972807;0.3145802,0.1394978;0.7642131;0.3042023,0.09906173;0.7361432;0.2464592,0.7195737;0.6777744;0.06582505,0.7771555;0.722299;0.03614612,0.7459623;0.7240207;-0.03300077,0.1217216;0.05121958;-0.0189957,0.0688931;0.05458832;-0.08289626,0.8628228;0.05753314;0.2961294,0.9176354;0.08187056;0.2391315,0.4978804;0;0.07644885
17,0.5489751;1.420855;0.4695908,0.5152794;1.457381;0.4393574,0.5743637;1.454339;0.429368,0.4548606;1.447422;0.3553181,0.6025713;1.439815;0.3303446,0.3304763;1.277496;0.2499676,0.7003646;1.280921;0.2382802,0.211446;0.9760283;0.1729357,0.7514185;1.008449;0.04172624,0.2288064;0.7475451;0.2709959,0.7861451;0.7617125;0.03561904,0.4623122;0.748323;0.08615237,0.630416;0.7671847;0.07054386,0.207719;0.3707989;0.1608179,0.8149787;0.5192578;0.4131596,0.2006569;0.1471035;-0.1562933,0.8838688;0.1766706;0.24423,0.07454747;0.0386982;-0.01671179,1.02381;0.08659911;0.3863991,0.5345374;0.8766609;0.09466831,0.5251533;0.9807743;0.1026288,0.5193205;1.094775;0.1285855,0.5171888;1.203656;0.1886058,0.2561772;0.6421341;0.3812466,0.2183241;0.7109298;0.3776155,0.1691259;0.6859583;0.325527,0.8118733;0.62752;0.1087424,0.8552191;0.6773458;0.0661105,0.8121315;0.6685956;0.00427068,0.1246093;0.04070973;-0.0201919,0.07125676;0.04808819;-0.08331531,0.9739174;0.08216637;0.3827373,1.025258;0.1007814;0.3205833,0.5463641;0;0.07834815
18,0.6265821;1.39184;0.4911477,0.593324;1.429477;0.4618061,0.6520492;1.424705;0.450467,0.5307481;1.421661;0.3791295,0.6775612;1.409731;0.3507817,0.3992763;1.249974;0.2832434,0.7684895;1.250962;0.2543518,0.2879091;0.9383595;0.2547256,0.8085057;0.9600704;0.08264419,0.3119823;0.7147676;0.3621913,0.8458416;0.7141825;0.09899724,0.51251;0.725654;0.1054748,0.6807387;0.7387756;0.08584795,0.2186358;0.3742224;0.160709,0.8805012;0.519805;0.4394913,0.1922638;0.1500569;-0.1550494,0.9676595;0.1634923;0.3126302,0.07354164;0.03205711;-0.01626137,1.118174;0.1091313;0.462218,0.5892696;0.8514341;0.1123279,0.5833276;0.9557594;0.1208107,0.5809932;1.069665;0.1477165,0.582518;1.177864;0.2089761,0.355411;0.6058938;0.4635636,0.3194697;0.6756497;0.4681728,0.2611587;0.6532315;0.4251088,0.893003;0.5903547;0.1793655,0.9264424;0.6405163;0.1289219,0.8792181;0.6219123;0.07252118,0.1233554;0.03739458;-0.01978672,0.06948328;0.04213667;-0.08272165,1.068725;0.1004012;0.4612563,1.116767;0.11238;0.3949689,0.5966244;0;0.09566139
19,0.7313734;1.362213;0.5302476,0.699188;1.40063;0.5007203,0.7577292;1.394064;0.4893268,0.6362759;1.394146;0.4181837,0.7826291;1.377732;0.3897001,0.4992881;1.224065;0.3382115,0.8660093;1.215887;0.2898632,0.4017463;0.909577;0.3696346,0.8997616;0.8985794;0.1749637,0.4433832;0.6974828;0.4937484,0.9375765;0.658331;0.2294885,0.5880448;0.6991119;0.1468188,0.7567369;0.704902;0.1276428,0.2620378;0.3727385;0.1576314,0.9647739;0.4762624;0.4702231,0.1914795;0.1561184;-0.1566077,1.04538;0.1144791;0.3550511,0.07750309;0.03313988;-0.01564832,1.192114;0.03299266;0.4942381,0.670186;0.8214327;0.1538967,0.6685815;0.9259206;0.1623067,0.6706914;1.039896;0.188936,0.6768671;1.14822;0.2496798,0.5064449;0.5860713;0.5810782,0.4775054;0.6579667;0.5942095,0.4083008;0.6392942;0.5693237,0.9885041;0.5459331;0.3232419,1.021126;0.5933756;0.2697259,0.9779999;0.5664869;0.2133838,0.1270314;0.04039937;-0.01972075,0.07216901;0.04422772;-0.08185734,1.141926;0.03190535;0.495769,1.187853;0.03791124;0.427211,0.6723909;0;0.1372308
